,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)",truth,"('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,166,7,444,5,104,4,106,4,458,4,62,1.0,65,1.0,60,0.8,72,0.8,81,0.8,62,0.14396529446443246,127,0.14396529446443246,372,0.14396529446443246,805,0.14396529446443246,905,0.14396529446443246,62,9,97.0,6.0,921.0,6.0,62,620.0,4.0,127.0,4.0
0,418,4,63,3,123,3,502,3,761,3,63,1.0,362,0.4,382,0.4,779,0.4,0,0.4,130,0.22544756641237745,51,0.2018322946012239,418,0.17012072830942604,61,0.11773550518404728,63,0.10784931772584483,63,6,0.0,0.0,5.0,0.0,63,362.0,0.0,779.0,0.0
0,12,5,46,5,746,5,31,4,741,4,64,1.0,178,1.0,73,0.4,77,0.4,164,0.4,57,0.18479572391754748,89,0.15561745172003996,372,0.147836579134038,657,0.147836579134038,805,0.147836579134038,64,4,178.0,4.0,480.0,0.0,64,866.0,0.0,164.0,0.0
0,166,7,444,5,106,4,104,3,123,3,65,1.0,62,0.8,69,0.6,54,0.6,60,0.6,62,0.14827612096075973,127,0.14827612096075973,372,0.14827612096075973,805,0.14827612096075973,905,0.14827612096075973,62,6,65.0,4.0,97.0,4.0,65,921.0,4.0,68.0,3.0
0,166,7,400,5,444,5,106,4,26,3,66,1.0,76,0.4,92,0.4,172,0.4,209,0.4,62,0.13664525189063512,274,0.13621355081842274,161,0.13013833513393822,188,0.12422295626421376,378,0.12422295626421376,66,4,770.0,1.0,172.0,1.0,66,822.0,1.0,961.0,1.0
0,184,7,323,7,14,7,433,6,253,5,67,1.0,45,0.8,759,0.8,799,0.8,824,0.8,212,0.3769663650075851,424,0.34109447331170356,82,0.2623803640859258,641,0.23197930154312932,465,0.1995026866537475,45,4,67.0,4.0,323.0,4.0,67,759.0,4.0,17.0,3.0
0,916,6,12,5,46,5,670,5,746,5,68,1.0,125,0.8,79,0.6,103,0.6,145,0.6,68,0.3703594429613061,670,0.3452503281842684,916,0.32162793730850264,781,0.30177436093143456,995,0.26003960888772554,68,8,620.0,4.0,805.0,4.0,68,829.0,4.0,837.0,4.0
0,444,6,196,3,62,2,212,2,366,2,69,1.0,446,0.6,65,0.4,173,0.4,259,0.4,62,0.5805815200221353,212,0.40873824949762244,366,0.40873824949762244,65,0.25873418987129804,69,0.09699963451439139,69,4,65.0,0.0,259.0,0.0,69,294.0,0.0,711.0,0.0
0,9,11,322,8,118,6,336,6,374,6,70,1.0,71,0.6,191,0.6,496,0.6,512,0.6,684,0.22331565055000002,709,0.20098408549500002,62,0.19448407210972932,127,0.19448407210972932,372,0.19448407210972932,70,4,817.0,2.0,848.0,2.0,70,512.0,1.0,132.0,1.0
0,9,11,322,8,118,6,336,6,374,6,71,1.0,70,0.4,132,0.4,191,0.4,339,0.4,684,0.22331565055000002,709,0.20098408549500002,526,0.18271280499545456,829,0.18271280499545456,643,0.16748673791250002,71,4,365.0,2.0,817.0,2.0,71,512.0,1.0,132.0,1.0
